id,country,year,Y,K,pop,L,s,alpha_it,GDPpc,lp,h,kl,kp,ky,TFP,log_GDPpc_raw,log_lp_raw,log_ky_raw,log_h_raw,log_tfp_raw,log_GDPpc,log_lp,log_ky,log_h,log_tfp,region,hi1990,isocode
26,Democratic Republic of Congo,2004,27327,147557,54.314854,17.08659,3.463861,,503.12204,1599.3243,1.923247,8635.8369,.18519624,5.3996778,169.95242,6.2208328,7.3773365,1.6863393,.65401489,5.1355186,6.134192,7.2879891,1.5745716,.65688598,5.1142764,Africa,no,COD
26,Democratic Republic of Congo,2005,31264,154013,56.089535,17.655411,3.487977,,557.39453,1770.7886,1.928774,8723.2744,.20299585,4.926209,189.46896,6.3232732,7.4791803,1.5945697,.65688455,5.244225,6.1377878,7.2903657,1.4972901,.65984082,5.1512938,Africa,no,COD
62,Mozambique,1998,10869,9252,17.317375,7.541471,1.019743,.57633299,627.63556,1441.2307,1.35298,1226.8164,1.174773,.85122824,247.99629,6.4419599,7.2732525,-.16107498,.30230957,5.5134139,6.4498835,7.2920694,-.12763458,.3058728,5.5084953,Africa,no,MOZ
26,Democratic Republic of Congo,2003,24924,142964,52.602207,16.544519,3.4397449,,473.82043,1506.4807,1.917721,8641.1699,.1743376,5.7359972,158.45935,6.1608286,7.3175316,1.7467616,.65113753,5.0654979,6.1419082,7.2967086,1.6338753,.65408832,5.0907111,Africa,no,COD
13,Burundi,2009,5915.9995,9611,9.1377859,4.1526108,3.252799,.4030143,647.42157,1424.6458,1.874938,2314.4475,.61554462,1.6245775,145.74136,6.4729977,7.2616787,.48524779,.62857562,4.9818335,6.4971066,7.2969995,.53110695,.62920141,4.9838367,Africa,no,BDI
13,Burundi,1998,4239,8140,6.51192,2.7715919,2.40639,.214559,650.96008,1529.4459,1.681533,2936.9404,.52076167,1.9202642,130.6694,6.4784484,7.3326607,.65246278,.51970589,4.8726707,6.4678173,7.2983537,.69016737,.51614326,4.8509812,Africa,no,BDI
26,Democratic Republic of Congo,2006,21053.998,127258,57.926842,18.262581,3.52279,,363.4584,1152.849,1.936756,6968.2373,.16544342,6.0443625,134.1956,5.8956647,7.0499916,1.799126,.66101444,4.8992987,6.1534224,7.3045635,1.4016832,.66294634,5.202363,Africa,no,COD
13,Burundi,1997,3845,8017,6.4203968,2.7546179,2.3301859,.2219211,598.87262,1395.8379,1.664057,2910.3855,.47960582,2.0850456,119.77513,6.3950491,7.24125,.73479074,.50925863,4.7856159,6.4866595,7.3153334,.67836475,.50562721,4.862669,Africa,no,BDI
26,Democratic Republic of Congo,2002,22984,140539,50.971409,16.03261,3.4156289,,450.91946,1433.5782,1.912197,8765.8213,.16354179,6.114645,148.62624,6.1112885,7.2679291,1.8106867,.64825284,5.0014348,6.1604276,7.3160214,1.6758281,.65144718,5.08005,Africa,no,COD
13,Burundi,2010,6462,9636,9.4611168,4.319077,3.3464811,.39135689,683.00604,1496.153,1.896367,2231.0322,.67061019,1.4911792,156.41832,6.5265036,7.3106523,.39956725,.6399399,5.0525341,6.5224404,7.3179483,.48903829,.63976246,5.0211101,Africa,no,BDI
62,Mozambique,1999,10528,9974,17.774067,7.780478,1.050053,.53233182,592.32367,1353.1302,1.360631,1281.9264,1.0555444,.9473784,231.50085,6.3840532,7.210176,-.054056693,.30794856,5.4445834,6.4921308,7.3312864,-.1203846,.3120659,5.5414662,Africa,no,MOZ
26,Democratic Republic of Congo,2007,18787,107237,59.834873,18.9032,3.5576041,,313.98077,993.85291,1.944742,5672.9546,.1751914,5.7080426,125.10152,5.749332,6.9015894,1.7418761,.6651293,4.8291254,6.1822853,7.33178,1.2876463,.6661886,5.2683177,Africa,no,COD
13,Burundi,1996,3848,7965,6.333415,2.740391,2.2539821,.2292833,607.57111,1404.1792,1.646553,2906.5195,.48311362,2.0699065,120.75236,6.4094691,7.2472081,.72750342,.49868405,4.7937417,6.5085268,7.3343763,.66374469,.49498081,4.8773041,Africa,no,BDI
13,Burundi,2011,7043,9825,9.7901506,4.4640918,3.4401629,.39135689,719.39648,1577.7006,1.917817,2200.8955,.7168448,1.3950021,166.93587,6.5784125,7.3637238,.33289593,.65118754,5.1176095,6.5500226,7.3412261,.44521412,.65036494,5.060554,Africa,no,BDI
26,Democratic Republic of Congo,2001,22178,138892,49.449017,15.55436,3.3915131,,448.50235,1425.8381,1.906675,8929.457,.15967803,6.2626028,145.55811,6.1059141,7.2625151,1.8345959,.64536089,4.9805756,6.1892872,7.3454781,1.7013396,.64895439,5.0816827,Africa,no,COD
13,Burundi,1995,4217,7968,6.2390299,2.7259531,2.177778,.2366455,675.90637,1546.9818,1.6290179,2923.0144,.52924198,1.8894949,133.01534,6.5160546,7.3440609,.63630956,.48797736,4.8904643,6.5330639,7.3552451,.64681429,.48420703,4.8944559,Africa,no,BDI
63,Myanmar,1990,33603,14937,42.007309,20.601561,2.8285179,,799.93225,1631.09,1.778038,725.04218,2.2496486,.44451389,429.34216,6.6845269,7.3970037,-.81077397,.5755105,6.062254,6.6413465,7.355865,-.93528032,.57156646,6.0779653,Asia,no,MMR
13,Burundi,2012,7986,10384,10.124572,4.6152449,3.533844,.39135689,788.77411,1730.3524,1.939291,2249.9348,.76906782,1.3002754,183.15657,6.6704798,7.4560804,.26257613,.66232246,5.2103415,6.5790586,7.3660283,.40051088,.66099417,5.1013193,Africa,no,BDI
62,Mozambique,2000,11892,11217,18.264536,8.0121384,1.080363,.56320959,651.09784,1484.2479,1.368245,1400.0007,1.0601765,.94323915,248.67064,6.4786601,7.3026633,-.058435421,.3135289,5.5161295,6.5353618,7.372314,-.1095245,.31915674,5.5737939,Africa,no,MOZ
26,Democratic Republic of Congo,2008,20669,91923,61.809277,19.57428,3.592418,,334.39963,1055.9265,1.952732,4696.1113,.22485124,4.4473848,142.96216,5.8123369,6.9621739,1.4923162,.66922939,4.9625802,6.2249212,7.3725758,1.1560686,.66954893,5.3492332,Africa,no,COD
13,Burundi,1994,4567,7927,6.1340408,2.7036071,2.0897231,.2440076,744.53369,1689.2247,1.608708,2932.0088,.57613218,1.7357128,145.29352,6.6127582,7.432025,.55141813,.47543138,4.978756,6.5596676,7.3774858,.62824029,.4733181,4.9134851,Africa,no,BDI
26,Democratic Republic of Congo,2000,22065,137896,48.048664,15.1073,3.3673971,,459.22192,1460.5522,1.901154,9127.7725,.16001189,6.2495356,146.70486,6.1295338,7.2865701,1.8325071,.64246112,4.9884229,6.2279029,7.3845086,1.711656,.64659405,5.0948014,Africa,no,COD
79,Rwanda,1996,4236,4626,6.0976882,2.9699841,2.772963,.2290221,694.68951,1426.2703,1.765354,1557.5841,.91569388,1.092068,151.34732,6.5434651,7.2628183,.088073105,.56835127,5.0195775,6.6291413,7.3907018,-.07328333,.57064259,5.1860127,Africa,no,RWA
13,Burundi,2013,8611,11262,10.465959,4.7707138,3.627526,.39135689,822.7627,1804.9709,1.960793,2360.6531,.76460665,1.307862,189.48964,6.7126679,7.4982996,.26839378,.67334896,5.2443342,6.6088247,7.3916082,.355524,.67163759,5.1426992,Africa,no,BDI
79,Rwanda,1995,3534.9998,4435,5.912755,2.8818791,2.6579809,.2290221,597.85999,1226.6301,1.739092,1538.9265,.79706872,1.2545969,129.99153,6.3933568,7.1120257,.22681436,.55336314,4.8674693,6.6278358,7.3926053,-.12556925,.55677599,5.2010536,Africa,no,RWA
63,Myanmar,1991,32305,15419,42.588028,20.874769,2.906538,,758.54651,1547.562,1.795849,738.64288,2.0951424,.47729453,405.34705,6.6314039,7.3444362,-.73962152,.58547789,6.0047436,6.6878343,7.3932543,-.90270561,.58242553,6.0958881,Asia,no,MMR
79,Rwanda,1997,4929,4908,6.5061178,3.1415999,2.887944,.2290221,757.59467,1568.9458,1.791605,1562.2614,1.0042788,.99573952,168.70602,6.6301484,7.3581591,-.0042695822,.58311188,5.1281576,6.6364784,7.3954597,-.026084758,.58450955,5.1778064,Africa,no,RWA
13,Burundi,1993,4393,7921,6.0199008,2.679934,2.001668,.2513698,729.74622,1639.2195,1.588339,2955.6697,.55460167,1.8030958,140.78993,6.5926967,7.4019756,.58950508,.4626888,4.947269,6.5876927,7.4006147,.60866296,.46233565,4.933742,Africa,no,BDI
79,Rwanda,1994,2830,4247,5.9959869,2.85449,2.5631649,.2290221,471.98236,991.42053,1.71742,1487.8314,.66635275,1.5007067,106.3373,6.1569414,6.8991389,.40593612,.54082316,4.666616,6.6322899,7.4008956,-.18340127,.5429213,5.222888,Africa,no,RWA
79,Rwanda,1998,5315,5280,7.0471959,3.2883861,3.0029261,.2290221,754.20068,1616.2944,1.817854,1605.6509,1.0066288,.99341488,174.09058,6.6256585,7.3878913,-.0066068987,.59765673,5.1595759,6.6499028,7.4068336,.016888574,.59835964,5.1760592,Africa,no,RWA
79,Rwanda,1993,6081,4182,6.3003578,2.900528,2.468349,.2290221,965.18329,2096.5149,1.695725,1441.8065,1.4540889,.68771583,229.41064,6.8723178,7.6480317,-.37437958,.52811038,5.4355135,6.6416473,7.4145966,-.24635711,.52908146,5.2506423,Africa,no,RWA
62,Mozambique,2001,12878,12016,18.792356,8.2579174,1.119727,.47656661,685.27863,1559.4731,1.3780791,1455.0884,1.0717376,.93306416,260.0159,6.5298257,7.3521032,-.06928131,.32069054,5.5607429,6.579061,7.4146509,-.094309658,.32721499,5.6048813,Africa,no,MOZ
13,Burundi,2014,9082,12227,10.81686,4.92557,3.7212081,.39135689,839.61517,1843.8475,1.982327,2482.3523,.74278235,1.3462894,191.77299,6.7329435,7.5196099,.29735222,.6842714,5.2563124,6.6388259,7.4174438,.31050426,.68228596,5.1842589,Africa,no,BDI
13,Burundi,1992,4734,7810,5.8951311,2.657088,1.913613,.25873199,803.03558,1781.6497,1.567901,2939.3079,.60614598,1.6497676,153.5127,6.6883988,7.4852948,.50063443,.44973779,5.0337834,6.6166267,7.4242859,.58853066,.45128661,4.9547405,Africa,no,BDI
79,Rwanda,1999,5438,5774,7.5851431,3.5415981,3.117907,.2290221,716.9278,1535.4651,1.844112,1630.3374,.9418081,1.0617874,167.96016,6.574975,7.3365884,.059953682,.6119979,5.1237268,6.6694555,7.4246864,.056553315,.61217219,5.1802716,Africa,no,RWA
17,Central African Republic,2014,2876,17171,4.804316,2.0972731,3.92821,.83568418,598.62842,1371.3044,2.0300319,8187.2979,.1674917,5.9704452,71.397705,6.3946409,7.2235179,1.7868215,.7080515,4.2682657,6.5857372,7.4250097,1.6281898,.71048748,4.4507742,Africa,no,CAF
26,Democratic Republic of Congo,2009,20680,81247,63.845097,20.27182,3.6272321,,323.90897,1020.1353,1.960726,4007.8789,.25453249,3.9287717,147.07603,5.7804627,6.9276905,1.3683268,.67331481,4.9909496,6.2807941,7.4264374,1.0089748,.673006,5.4440861,Africa,no,COD
63,Myanmar,1992,34721,15877,43.126259,21.376659,2.9845581,,805.10114,1624.2482,1.813661,742.72595,2.1868742,.45727369,426.71213,6.690968,7.3928003,-.78247321,.59534746,6.0561094,6.7344298,7.4307461,-.86981964,.59329444,6.1137714,Asia,no,MMR
79,Rwanda,1992,6679,3905,6.712924,2.9888101,2.373533,.2290221,994.94647,2234.6687,1.674001,1306.54,1.7103714,.58466834,256.2847,6.902689,7.7118483,-.53671056,.51521653,5.546289,6.6538625,7.431478,-.31254125,.5152542,5.2820506,Africa,no,RWA
26,Democratic Republic of Congo,1999,25858,137069,46.788239,14.70067,3.368242,,552.66028,1758.9674,1.901347,9323.9971,.18864951,5.3008351,173.81749,6.3147435,7.4724822,1.6678643,.64256263,5.1580057,6.2754807,7.4323349,1.7083569,.64434105,5.1183476,Africa,no,COD
13,Burundi,1991,4865,7906,5.759429,2.6343629,1.8255579,.26609409,844.70178,1846.7463,1.547383,3001.105,.61535543,1.6250771,158.25844,6.7389836,7.5211806,.48555529,.43656507,5.0642295,6.6459699,7.4481554,.56824374,.44019878,4.976028,Africa,no,BDI
79,Rwanda,2000,5870,6395,8.0218754,3.692781,3.2328889,.2290221,731.74908,1589.5879,1.870386,1731.7572,.91790462,1.0894378,172.08647,6.5954375,7.3712301,.085661821,.62614483,5.1479969,6.6951175,7.4488316,.093767382,.62592471,5.1899028,Africa,no,RWA
79,Rwanda,1991,6281,3692,7.071393,3.164206,2.278717,.2290221,888.22668,1985.0161,1.652238,1166.8014,1.7012459,.5878045,241.98091,6.789227,7.5933824,-.53136086,.50213075,5.4888587,6.6674662,7.4498925,-.3803781,.50143474,5.31531,Africa,no,RWA
17,Central African Republic,2013,2777,16967,4.7106781,2.0287271,3.8859341,.83568418,589.51172,1368.8386,2.0202739,8363.3721,.16367066,6.1098309,70.086929,6.3792944,7.2217178,1.8098991,.70323312,4.2497363,6.6109052,7.455533,1.5326988,.70526606,4.4964156,Africa,no,CAF
62,Mozambique,2002,15736.999,13208,19.348715,8.4876423,1.159091,.44962311,813.33563,1854.1073,1.3878551,1556.1448,1.1914748,.83929598,304.48956,6.7011437,7.5251584,-.17519185,.32775941,5.718637,6.6225724,7.457623,-.073867738,.3362962,5.6339865,Africa,no,MOZ
63,Myanmar,1993,44957,16743,43.642311,21.856541,3.062578,,1030.1241,2056.9128,1.831475,766.04071,2.6851223,.37242255,537.21252,6.9374347,7.6289616,-.98772621,.60512167,6.2863936,6.7811003,7.4683218,-.83590341,.60419071,6.1313486,Asia,no,MMR
79,Rwanda,1990,7192.9995,3558,7.2597399,3.2448211,2.1839011,.2290221,990.80676,2216.7632,1.630428,1096.5166,2.0216413,.49464762,279.42136,6.8985195,7.7038035,-.70390964,.48884252,5.6327209,6.6816125,7.4688945,-.4488526,.48761839,5.3492785,Africa,no,RWA
13,Burundi,1990,4609,8056,5.6131411,2.6130049,1.7375031,.27345631,821.10889,1763.8696,1.526772,3083.0405,.57212013,1.7478846,150.06711,6.7106557,7.4752655,.55840629,.42315573,5.0110826,6.6754012,7.472033,.54798287,.4290961,4.9973502,Africa,no,BDI
79,Rwanda,2001,6459,7040,8.329113,3.791698,3.3519211,.2290221,775.47272,1703.4585,1.897612,1856.688,.91747159,1.089952,180.98506,6.6534729,7.4404159,.086133651,.64059621,5.1984143,6.7266316,7.4788632,.12939718,.6395942,5.2042704,Africa,no,RWA
17,Central African Republic,2012,4283,17049,4.6195002,1.980849,3.843657,.83568418,927.15662,2162.2041,2.010524,8606.915,.25121707,3.9806211,108.95181,6.8321223,7.6788836,1.3814379,.69839543,4.6909056,6.6355958,7.4855523,1.4376042,.70003855,4.5416012,Africa,no,CAF
26,Democratic Republic of Congo,1998,24953,136146,45.647949,14.3401,3.369086,,546.64014,1740.0854,1.901541,9494.0762,.18328118,5.4560976,169.48608,6.3037906,7.4616895,1.6967338,.64266461,5.132771,6.3309813,7.4879346,1.6933241,.64216006,5.1509943,Africa,no,COD
26,Democratic Republic of Congo,2010,36302,73474,65.938713,21.004589,3.662045,,550.5415,1728.2889,1.968724,3497.9976,.49407953,2.0239656,263.42789,6.3109021,7.4548869,.70505875,.67738563,5.5737796,6.3483348,7.4918232,.84923023,.67653751,5.5508876,Africa,no,COD
62,Mozambique,2003,17316,14374,19.928495,8.7130632,1.198455,.57330692,868.90656,1987.3607,1.397577,1649.7068,1.2046751,.83009934,322.26755,6.7672358,7.5945625,-.18620989,.33474004,5.775382,6.6651163,7.5003991,-.04726382,.34643963,5.6602573,Africa,no,MOZ
63,Myanmar,1994,43516,18024,44.164108,22.303379,3.1405981,,985.32501,1951.0945,1.849295,808.12866,2.4143364,.41419247,502.50885,6.8929715,7.5761456,-.88142449,.61480451,6.2196131,6.827704,7.505867,-.80001962,.61513692,6.1482081,Asia,no,MMR
17,Central African Republic,2011,4120,16880,4.5309029,1.933706,3.8013811,.83568418,909.31104,2130.6238,2.000782,8729.3516,.24407583,4.0970874,106.15966,6.8126874,7.6641703,1.4102763,.69353813,4.6649442,6.6587515,7.5139799,1.3439958,.69479376,4.5852571,Africa,no,CAF
79,Rwanda,2002,7569,7765,8.5390291,4.0043998,3.470952,.2290221,886.40051,1890.1709,1.924872,1939.1171,.97475851,1.0258951,200.72517,6.787169,7.5444226,.025565518,.65485948,5.3019366,6.7634935,7.5141816,.16428889,.65315843,5.2225876,Africa,no,RWA
17,Central African Republic,2010,3842,13606,4.444973,1.8879319,3.759105,.83568418,864.34723,2035.031,1.991047,7206.8276,.28237543,3.5413847,107.31339,6.7619748,7.6182661,1.2645178,.68866062,4.6757536,6.6798077,7.5402102,1.2528229,.68951637,4.6266842,Africa,no,CAF
62,Mozambique,2004,18075,15707,20.523159,8.9256773,1.237819,.57330692,880.71234,2025.0564,1.40725,1759.7544,1.1507608,.8689903,323.3653,6.7807312,7.6133528,-.14042331,.34163749,5.7787828,6.7061086,7.5423169,-.013816297,.35766318,5.683054,Africa,no,MOZ
63,Myanmar,1995,48681,19923,44.71093,22.779421,3.2186179,,1088.7942,2137.0605,1.867124,874.60522,2.4434574,.40925619,538.38904,6.992826,7.6671867,-.89341396,.62439924,6.2885814,6.8744898,7.5436692,-.76161045,.62615812,6.1643262,Asia,no,MMR
26,Democratic Republic of Congo,1997,27137,135511,44.558346,14.00246,3.369931,,609.02173,1938.0167,1.901734,9677.6572,.20025681,4.993588,186.05588,6.4118538,7.5694203,1.6081547,.64276612,5.226047,6.3934636,7.5503855,1.6683379,.64001131,5.1915154,Africa,no,COD
